,Date,Total Cases,Total Death,New Cases,New Death
0,2019-08-31,36633.0,15.0,7980.0,4.0
1,2019-09-30,79505.0,645.0,17757.0,25.0
2,2019-10-31,35325.0,1121.0,8146.0,13.0
3,2019-11-30,19975.0,85.0,4011.0,1.0
4,2019-12-31,6769.0,0.0,1247.0,0.0
5,2020-01-31,890.0,1290.0,195.0,0.0
6,2020-02-29,0.0,0.0,0.0,0.0
7,2020-03-31,0.0,0.0,0.0,0.0
8,2020-04-30,0.0,0.0,0.0,0.0
9,2020-05-31,0.0,0.0,0.0,0.0
10,2020-06-30,0.0,0.0,0.0,0.0
11,2020-07-31,0.0,0.0,0.0,0.0
12,2020-08-31,0.0,0.0,0.0,0.0
13,2020-09-30,0.0,0.0,0.0,0.0
14,2020-10-31,0.0,0.0,0.0,0.0
15,2020-11-30,0.0,0.0,0.0,0.0
16,2020-12-31,0.0,0.0,0.0,0.0
17,2021-01-31,0.0,0.0,0.0,0.0
18,2021-02-28,5.0,43.0,2.0,0.0
19,2021-03-31,0.0,0.0,0.0,0.0
20,2021-04-30,0.0,0.0,0.0,0.0
21,2021-05-31,0.0,0.0,0.0,0.0
22,2021-06-30,0.0,0.0,0.0,0.0
23,2021-07-31,0.0,0.0,0.0,0.0
24,2021-08-31,0.0,0.0,0.0,0.0
25,2021-09-30,0.0,0.0,0.0,0.0
26,2021-10-31,0.0,0.0,0.0,0.0
27,2021-11-30,0.0,0.0,0.0,0.0
28,2021-12-31,2309.0,851.0,470.0,4.0
29,2022-01-31,948.0,1457.0,126.0,0.0
30,2022-02-28,98.0,1316.0,19.0,0.0
31,2022-03-31,104.0,1457.0,20.0,0.0
32,2022-04-30,118.0,1410.0,23.0,0.0
33,2022-05-31,599.0,1457.0,163.0,0.0
34,2022-06-30,2832.0,1420.0,736.0,1.0
35,2022-07-31,6600.0,1569.0,1571.0,9.0
36,2022-08-31,13962.0,1971.0,3523.0,11.0
37,2022-09-30,38947.0,2607.0,9910.0,34.0
38,2022-10-31,89670.0,4350.0,21648.0,86.0
39,2022-11-30,83889.0,7665.0,19323.0,113.0
40,2022-12-31,27004.0,9788.0,5024.0,27.0
41,2023-01-31,3577.0,10266.0,566.0,6.0
42,2023-02-28,910.0,9410.0,166.0,3.0
43,2023-03-31,761.0,10447.0,111.0,0.0
44,2023-04-30,753.0,10130.0,143.0,2.0
45,2023-05-31,4021.0,10541.0,1036.0,2.0
46,2023-06-30,27377.0,10751.0,5956.0,34.0
47,2023-07-31,156881.0,14190.0,43354.0,204.0
48,2023-08-31,271425.0,23456.0,71976.0,342.0
49,2023-09-30,294395.0,33828.0,72620.0,396.0
50,2023-10-31,252982.0,46829.0,57720.0,359.0
51,2023-11-30,152502.0,55022.0,40616.0,274.0
52,2023-12-31,55851.0,62043.0,9488.0,83.0
53,2024-01-31,1055.0,63283.0,1055.0,14.0
54,2024-02-29,339.0,59423.0,339.0,3.0
55,2024-03-31,311.0,63640.0,311.0,5.0
56,2024-04-30,504.0,61681.0,504.0,2.0
57,2024-05-31,644.0,63978.0,644.0,12.0
58,2024-06-30,798.0,62179.0,798.0,8.0
59,2024-07-31,2669.0,52053.0,2669.0,12.0
60,2024-08-31,6521.0,65199.0,6521.0,27.0
